  16/160 games, 2050 examples (B/W/draw 6/10/0)
  32/160 games, 4046 examples (B/W/draw 13/19/0)
  48/160 games, 6219 examples (B/W/draw 22/26/0)
  64/160 games, 8469 examples (B/W/draw 29/35/0)
  80/160 games, 10726 examples (B/W/draw 37/43/0)
  96/160 games, 12855 examples (B/W/draw 41/54/1)
  112/160 games, 15000 examples (B/W/draw 52/59/1)
  128/160 games, 17079 examples (B/W/draw 61/66/1)
  144/160 games, 19457 examples (B/W/draw 69/74/1)
  160/160 games, 21773 examples (B/W/draw 76/83/1)
saved distill_5cubed_strong.npz: X(21773, 3, 5, 5, 5) P(21773, 126) Z(21773,)  games=160 playouts=96 B/W/draw=76/83/1
