  16/384 games, 1195 examples (B/W/draw 6/10/0)
  32/384 games, 2418 examples (B/W/draw 15/17/0)
  48/384 games, 3688 examples (B/W/draw 24/21/3)
  64/384 games, 5018 examples (B/W/draw 32/28/4)
  80/384 games, 6229 examples (B/W/draw 40/34/6)
  96/384 games, 7473 examples (B/W/draw 48/42/6)
  112/384 games, 8667 examples (B/W/draw 57/47/8)
  128/384 games, 9840 examples (B/W/draw 67/50/11)
  144/384 games, 11058 examples (B/W/draw 74/57/13)
  160/384 games, 12414 examples (B/W/draw 81/66/13)
  176/384 games, 13657 examples (B/W/draw 84/78/14)
  192/384 games, 14807 examples (B/W/draw 92/85/15)
  208/384 games, 15989 examples (B/W/draw 101/90/17)
  224/384 games, 17230 examples (B/W/draw 109/98/17)
  240/384 games, 18438 examples (B/W/draw 116/106/18)
  256/384 games, 19566 examples (B/W/draw 122/115/19)
  272/384 games, 20841 examples (B/W/draw 126/124/22)
  288/384 games, 22024 examples (B/W/draw 134/130/24)
  304/384 games, 23313 examples (B/W/draw 143/136/25)
  320/384 games, 24577 examples (B/W/draw 149/146/25)
  336/384 games, 25757 examples (B/W/draw 158/153/25)
  352/384 games, 27067 examples (B/W/draw 165/162/25)
  368/384 games, 28219 examples (B/W/draw 175/167/26)
  384/384 games, 29589 examples (B/W/draw 182/175/27)
saved distill_own_4cubed.npz: X(29589, 3, 4, 4, 4) P(29589, 65) Z(29589,) O(29589, 4, 4, 4)  games=384 playouts=128 B/W/draw=182/175/27
